id,prolific_id,separatePref,blockPrefFirst,trial_idx,trial_type,local_idx,story_id,description,vignette_1,vignette_2,vignette_3,vignette_order,rt,time_elapsed,social_goal,presentational_goal,social_goal_purple
6grk10yllm,5d89106d1719af0001ee23e5,true,competitive,20,trial,0,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Apple,Red prefers A (same as Green). Red takes O when Purple is absent and of the two As when Purple is present.,sim_R-A_G-A_P-present,seq_AAO_R-O_P-absent,seq_AAO_R-A_P-present,0,30223,339191,98,49,100
6grk10yllm,5d89106d1719af0001ee23e5,true,competitive,24,trial,1,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Orange,Red prefers A (same as Green). Red takes O both when Purple is present or absent.,sim_R-A_G-A_P-present,seq_AO_R-O_P-absent,seq_AO_R-O_P-present,0,21994,395911,100,100,98
6grk10yllm,5d89106d1719af0001ee23e5,true,competitive,26,trial,2,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Apple,Red prefers A (same as Green). Red takes one of the two As both when Purple is absent and present.,sim_R-A_G-A_P-present,seq_AAO_R-A_P-absent,seq_AAO_R-A_P-present,0,18627,419826,98,98,97
6grk10yllm,5d89106d1719af0001ee23e5,true,competitive,27,trial,3,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Apple,Red prefers A (same as Green). Red takes A when Purple is both absent and present.,sim_R-A_G-A_P-present,seq_AO_R-A_P-present,seq_AO_R-A_P-absent,0,16828,436655,99,99,99
6grk10yllm,5d89106d1719af0001ee23e5,true,competitive,28,trial,4,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Apple,Red prefers A (same as Green). Red takes O when Purple is absent and A when Purple is present.,sim_R-A_G-A_P-present,seq_AO_R-O_P-absent,seq_AO_R-A_P-present,0,32951,469607,99,4,100
6grk10yllm,5d89106d1719af0001ee23e5,true,competitive,29,trial,5,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Orange,Red prefers A (same as Green). Red takes one of the As when Purple is absent and of O Purple is present.,sim_R-A_G-A_P-present,seq_AAO_R-A_P-absent,seq_AAO_R-O_P-present,0,23921,493529,100,53,100
6grk10yllm,5d89106d1719af0001ee23e5,true,competitive,30,trial,6,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Orange,Red prefers A (same as Green). Red takes A when Purple is absent and O when Purple is present.,sim_R-A_G-A_P-present,seq_AO_R-A_P-absent,seq_AO_R-O_P-present,0,17731,511261,98,98,100
6grk10yllm,5d89106d1719af0001ee23e5,true,competitive,31,trial,7,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Orange,Red prefers A (same as Green). Red takes O both when Purple is absent and present.,sim_R-A_G-A_P-present,seq_AAO_R-O_P-absent,seq_AAO_R-O_P-present,0,28813,540075,52,99,100
6grk10yllm,5d89106d1719af0001ee23e5,true,competitive,33,trial,8,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Apple,Red prefers O (unlike Green). Red takes O when Purple is absent and A when Purple is present.,sim_R-O_G-A_P-present,seq_AO_R-O_P-absent,seq_AO_R-A_P-present,0,25482,573511,52,81,100
6grk10yllm,5d89106d1719af0001ee23e5,true,competitive,34,trial,9,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Apple,Red prefers O (unlike Green). Red takes O when Purple is absent and one of the two As when Purple is present.,sim_R-O_G-A_P-present,seq_AAO_R-O_P-absent,seq_AAO_R-A_P-present,0,29781,603293,100,81,100
