id,prolific_id,separatePref,randomizeVignettes,questionOrder,blockPrefFirst,trial_idx,trial_type,local_idx,story_id,description,vignette_1,vignette_2,vignette_3,vignette_order,rt,time_elapsed,social_goal,presentational_goal,social_goal_purple
1d8uvg3hyk,6723fa0868c97d17ff291ca9,true,true,presentational_goal,complementary,25,trial,0,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Orange,Red prefers O (unlike Green). Red takes one of the two As when Purple is absent and O when Purple is present.,sim_R-O_G-A_P-present,seq_AAO_R-O_P-present,seq_AAO_R-A_P-absent,present,134464,450095,49,82,51
1d8uvg3hyk,6723fa0868c97d17ff291ca9,true,true,presentational_goal,complementary,29,trial,1,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Apple,Red prefers O (unlike Green). Red takes O when Purple is absent and A when Purple is present.,sim_R-O_G-A_P-present,seq_AO_R-A_P-present,seq_AO_R-O_P-absent,present,51413,537510,100,100,100
1d8uvg3hyk,6723fa0868c97d17ff291ca9,true,true,presentational_goal,complementary,31,trial,2,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Apple,Red prefers O (unlike Green). Red takes one of the two As when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AAO_R-A_P-present,seq_AAO_R-A_P-absent,present,78615,621958,100,99,100
1d8uvg3hyk,6723fa0868c97d17ff291ca9,true,true,presentational_goal,complementary,32,trial,3,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Apple,Red prefers O (unlike Green). Red takes O when Purple is absent and one of the two As when Purple is present.,sim_R-O_G-A_P-present,seq_AAO_R-A_P-present,seq_AAO_R-O_P-absent,present,50997,672958,100,100,100
1d8uvg3hyk,6723fa0868c97d17ff291ca9,true,true,presentational_goal,complementary,33,trial,4,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Orange,Red prefers O (unlike Green). Red takes O when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AO_R-O_P-absent,seq_AO_R-O_P-present,absent,41131,714091,100,100,100
1d8uvg3hyk,6723fa0868c97d17ff291ca9,true,true,presentational_goal,complementary,34,trial,5,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Apple,Red prefers O (unlike Green). Red takes A when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AO_R-A_P-present,seq_AO_R-A_P-absent,present,43263,757357,100,100,100
1d8uvg3hyk,6723fa0868c97d17ff291ca9,true,true,presentational_goal,complementary,35,trial,6,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Orange,Red prefers O (unlike Green). Red takes O when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AAO_R-O_P-absent,seq_AAO_R-O_P-present,absent,39781,797140,97,96,97
1d8uvg3hyk,6723fa0868c97d17ff291ca9,true,true,presentational_goal,complementary,36,trial,7,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Orange,Red prefers O (unlike Green). Red takes A when Purple is absent and O when Purple is present.,sim_R-O_G-A_P-present,seq_AO_R-O_P-present,seq_AO_R-A_P-absent,present,44114,841256,82,83,100
1d8uvg3hyk,6723fa0868c97d17ff291ca9,true,true,presentational_goal,complementary,38,trial,8,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Apple,Red prefers A (same as Green). Red takes one of the two As both when Purple is absent and present.,sim_R-A_G-A_P-present,seq_AAO_R-A_P-present,seq_AAO_R-A_P-absent,present,60015,903573,73,98,87
1d8uvg3hyk,6723fa0868c97d17ff291ca9,true,true,presentational_goal,complementary,39,trial,9,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Orange,Red prefers A (same as Green). Red takes one of the As when Purple is absent and of O Purple is present.,sim_R-A_G-A_P-present,seq_AAO_R-A_P-absent,seq_AAO_R-O_P-present,absent,47313,950888,95,95,95
