id,prolific_id,separatePref,randomizeVignettes,questionOrder,blockPrefFirst,trial_idx,trial_type,local_idx,story_id,description,vignette_1,vignette_2,vignette_3,vignette_order,rt,time_elapsed,social_goal,presentational_goal,social_goal_purple
zlkc4ydbqb,5e29cc3230cf9d03580c34bf,true,true,presentational_goal,competitive,20,trial,0,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Orange,Red prefers A (same as Green). Red takes O both when Purple is present or absent.,sim_R-A_G-A_P-present,seq_AO_R-O_P-absent,seq_AO_R-O_P-present,absent,63062,337882,100,0,63
zlkc4ydbqb,5e29cc3230cf9d03580c34bf,true,true,presentational_goal,competitive,24,trial,1,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Apple,Red prefers A (same as Green). Red takes O when Purple is absent and of the two As when Purple is present.,sim_R-A_G-A_P-present,seq_AAO_R-A_P-present,seq_AAO_R-O_P-absent,present,39844,418391,69,0,42
zlkc4ydbqb,5e29cc3230cf9d03580c34bf,true,true,presentational_goal,competitive,26,trial,2,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Apple,Red prefers A (same as Green). Red takes one of the two As both when Purple is absent and present.,sim_R-A_G-A_P-present,seq_AAO_R-A_P-present,seq_AAO_R-A_P-absent,present,33465,455171,49,0,50
zlkc4ydbqb,5e29cc3230cf9d03580c34bf,true,true,presentational_goal,competitive,27,trial,3,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Orange,Red prefers A (same as Green). Red takes O both when Purple is absent and present.,sim_R-A_G-A_P-present,seq_AAO_R-O_P-present,seq_AAO_R-O_P-absent,present,30921,486093,82,69,79
zlkc4ydbqb,5e29cc3230cf9d03580c34bf,true,true,presentational_goal,competitive,28,trial,4,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Apple,Red prefers A (same as Green). Red takes A when Purple is both absent and present.,sim_R-A_G-A_P-present,seq_AO_R-A_P-present,seq_AO_R-A_P-absent,present,34336,520432,12,0,30
zlkc4ydbqb,5e29cc3230cf9d03580c34bf,true,true,presentational_goal,competitive,29,trial,5,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Apple,Red prefers A (same as Green). Red takes O when Purple is absent and A when Purple is present.,sim_R-A_G-A_P-present,seq_AO_R-A_P-present,seq_AO_R-O_P-absent,present,36003,556436,95,73,0
zlkc4ydbqb,5e29cc3230cf9d03580c34bf,true,true,presentational_goal,competitive,30,trial,6,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Orange,Red prefers A (same as Green). Red takes one of the As when Purple is absent and of O Purple is present.,sim_R-A_G-A_P-present,seq_AAO_R-O_P-present,seq_AAO_R-A_P-absent,present,37131,593568,50,93,81
zlkc4ydbqb,5e29cc3230cf9d03580c34bf,true,true,presentational_goal,competitive,31,trial,7,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Orange,Red prefers A (same as Green). Red takes A when Purple is absent and O when Purple is present.,sim_R-A_G-A_P-present,seq_AO_R-O_P-present,seq_AO_R-A_P-absent,present,18097,611666,0,89,88
zlkc4ydbqb,5e29cc3230cf9d03580c34bf,true,true,presentational_goal,competitive,33,trial,8,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Orange,Red prefers O (unlike Green). Red takes one of the two As when Purple is absent and O when Purple is present.,sim_R-O_G-A_P-present,seq_AAO_R-A_P-absent,seq_AAO_R-O_P-present,absent,40595,658586,35,74,79
zlkc4ydbqb,5e29cc3230cf9d03580c34bf,true,true,presentational_goal,competitive,34,trial,9,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Orange,Red prefers O (unlike Green). Red takes O when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AO_R-O_P-absent,seq_AO_R-O_P-present,absent,25372,683960,50,0,50
zlkc4ydbqb,5e29cc3230cf9d03580c34bf,true,true,presentational_goal,competitive,35,trial,10,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Apple,Red prefers O (unlike Green). Red takes O when Purple is absent and A when Purple is present.,sim_R-O_G-A_P-present,seq_AO_R-O_P-absent,seq_AO_R-A_P-present,absent,25779,709740,87,82,0
zlkc4ydbqb,5e29cc3230cf9d03580c34bf,true,true,presentational_goal,competitive,36,trial,11,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Orange,Red prefers O (unlike Green). Red takes O when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AAO_R-O_P-absent,seq_AAO_R-O_P-present,absent,21248,730987,51,0,51
zlkc4ydbqb,5e29cc3230cf9d03580c34bf,true,true,presentational_goal,competitive,37,trial,12,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Apple,Red prefers O (unlike Green). Red takes O when Purple is absent and one of the two As when Purple is present.,sim_R-O_G-A_P-present,seq_AAO_R-O_P-absent,seq_AAO_R-A_P-present,absent,28044,759032,76,78,33
zlkc4ydbqb,5e29cc3230cf9d03580c34bf,true,true,presentational_goal,competitive,38,trial,13,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Apple,Red prefers O (unlike Green). Red takes one of the two As when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AAO_R-A_P-absent,seq_AAO_R-A_P-present,absent,23025,782059,30,0,45
zlkc4ydbqb,5e29cc3230cf9d03580c34bf,true,true,presentational_goal,competitive,39,trial,14,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Apple,Red prefers O (unlike Green). Red takes A when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AO_R-A_P-present,seq_AO_R-A_P-absent,present,25402,807462,0,0,35
zlkc4ydbqb,5e29cc3230cf9d03580c34bf,true,true,presentational_goal,competitive,40,trial,15,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Orange,Red prefers O (unlike Green). Red takes A when Purple is absent and O when Purple is present.,sim_R-O_G-A_P-present,seq_AO_R-O_P-present,seq_AO_R-A_P-absent,present,23077,830540,0,100,100
