id,prolific_id,separatePref,randomizeVignettes,questionOrder,blockPrefFirst,trial_idx,trial_type,local_idx,story_id,description,vignette_1,vignette_2,vignette_3,vignette_order,rt,time_elapsed,social_goal,presentational_goal,social_goal_purple
f2oe4dbz7d,f2oe4dbz7d,True,True,social_goal,complementary,20,trial,0,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Apple,Red prefers O (unlike Green). Red takes O when Purple is absent and one of the two As when Purple is present.,sim_R-O_G-A_P-present,seq_AAO_R-A_P-present,seq_AAO_R-O_P-absent,present,27454,248969,53,20,52
f2oe4dbz7d,f2oe4dbz7d,True,True,social_goal,complementary,24,trial,1,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Orange,Red prefers O (unlike Green). Red takes one of the two As when Purple is absent and O when Purple is present.,sim_R-O_G-A_P-present,seq_AAO_R-O_P-present,seq_AAO_R-A_P-absent,present,13026,298115,65,64,65
f2oe4dbz7d,f2oe4dbz7d,True,True,social_goal,complementary,26,trial,2,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Orange,Red prefers O (unlike Green). Red takes O when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AO_R-O_P-absent,seq_AO_R-O_P-present,absent,21090,321881,56,6,55
f2oe4dbz7d,f2oe4dbz7d,True,True,social_goal,complementary,27,trial,3,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Apple,Red prefers O (unlike Green). Red takes one of the two As when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AAO_R-A_P-present,seq_AAO_R-A_P-absent,present,18183,340067,26,7,46
f2oe4dbz7d,f2oe4dbz7d,True,True,social_goal,complementary,28,trial,4,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Orange,Red prefers O (unlike Green). Red takes O when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AAO_R-O_P-present,seq_AAO_R-O_P-absent,present,20181,360252,57,8,63
f2oe4dbz7d,f2oe4dbz7d,True,True,social_goal,complementary,29,trial,5,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Orange,Red prefers O (unlike Green). Red takes A when Purple is absent and O when Purple is present.,sim_R-O_G-A_P-present,seq_AO_R-A_P-absent,seq_AO_R-O_P-present,absent,20241,380497,9,74,77
f2oe4dbz7d,f2oe4dbz7d,True,True,social_goal,complementary,30,trial,6,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Apple,Red prefers O (unlike Green). Red takes A when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AO_R-A_P-present,seq_AO_R-A_P-absent,present,18366,398866,2,7,24
f2oe4dbz7d,f2oe4dbz7d,True,True,social_goal,complementary,31,trial,7,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Apple,Red prefers O (unlike Green). Red takes O when Purple is absent and A when Purple is present.,sim_R-O_G-A_P-present,seq_AO_R-O_P-absent,seq_AO_R-A_P-present,absent,20859,419728,85,75,8
f2oe4dbz7d,f2oe4dbz7d,True,True,social_goal,complementary,33,trial,8,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Apple,Red prefers A (same as Green). Red takes O when Purple is absent and A when Purple is present.,sim_R-A_G-A_P-present,seq_AO_R-O_P-absent,seq_AO_R-A_P-present,absent,16854,439084,90,78,10
f2oe4dbz7d,f2oe4dbz7d,True,True,social_goal,complementary,34,trial,9,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Orange,Red prefers A (same as Green). Red takes O both when Purple is absent and present.,sim_R-A_G-A_P-present,seq_AAO_R-O_P-absent,seq_AAO_R-O_P-present,absent,15720,454808,99,17,95
f2oe4dbz7d,f2oe4dbz7d,True,True,social_goal,complementary,35,trial,10,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Apple,Red prefers A (same as Green). Red takes A when Purple is both absent and present.,sim_R-A_G-A_P-present,seq_AO_R-A_P-present,seq_AO_R-A_P-absent,present,17056,471868,46,13,48
f2oe4dbz7d,f2oe4dbz7d,True,True,social_goal,complementary,36,trial,11,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Orange,Red prefers A (same as Green). Red takes one of the As when Purple is absent and of O Purple is present.,sim_R-A_G-A_P-present,seq_AAO_R-O_P-present,seq_AAO_R-A_P-absent,present,19425,491295,25,76,77
f2oe4dbz7d,f2oe4dbz7d,True,True,social_goal,complementary,37,trial,12,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Apple,Red prefers A (same as Green). Red takes O when Purple is absent and of the two As when Purple is present.,sim_R-A_G-A_P-present,seq_AAO_R-O_P-absent,seq_AAO_R-A_P-present,absent,20820,512118,73,58,49
f2oe4dbz7d,f2oe4dbz7d,True,True,social_goal,complementary,38,trial,13,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Apple,Red prefers A (same as Green). Red takes one of the two As both when Purple is absent and present.,sim_R-A_G-A_P-present,seq_AAO_R-A_P-absent,seq_AAO_R-A_P-present,absent,18148,530269,52,9,49
f2oe4dbz7d,f2oe4dbz7d,True,True,social_goal,complementary,39,trial,14,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Orange,Red prefers A (same as Green). Red takes A when Purple is absent and O when Purple is present.,sim_R-A_G-A_P-present,seq_AO_R-O_P-present,seq_AO_R-A_P-absent,present,17380,547652,15,67,71
f2oe4dbz7d,f2oe4dbz7d,True,True,social_goal,complementary,40,trial,15,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Orange,Red prefers A (same as Green). Red takes O both when Purple is present or absent.,sim_R-A_G-A_P-present,seq_AO_R-O_P-absent,seq_AO_R-O_P-present,absent,15136,562791,90,18,88
