id,prolific_id,separatePref,randomizeVignettes,questionOrder,blockPrefFirst,trial_idx,trial_type,local_idx,story_id,description,vignette_1,vignette_2,vignette_3,vignette_order,rt,time_elapsed,social_goal,presentational_goal,social_goal_purple
6gcmgdmm8x,6gcmgdmm8x,True,True,presentational_goal,competitive,20,trial,0,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Orange,Red prefers A (same as Green). Red takes O both when Purple is absent and present.,sim_R-A_G-A_P-present,seq_AAO_R-O_P-present,seq_AAO_R-O_P-absent,present,36792,337722,100,0,100
6gcmgdmm8x,6gcmgdmm8x,True,True,presentational_goal,competitive,24,trial,1,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Apple,Red prefers A (same as Green). Red takes O when Purple is absent and of the two As when Purple is present.,sim_R-A_G-A_P-present,seq_AAO_R-O_P-absent,seq_AAO_R-A_P-present,absent,22059,394213,100,0,100
6gcmgdmm8x,6gcmgdmm8x,True,True,presentational_goal,competitive,26,trial,2,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Apple,Red prefers A (same as Green). Red takes one of the two As both when Purple is absent and present.,sim_R-A_G-A_P-present,seq_AAO_R-A_P-present,seq_AAO_R-A_P-absent,present,35757,435718,100,0,100
6gcmgdmm8x,6gcmgdmm8x,True,True,presentational_goal,competitive,27,trial,3,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Orange,Red prefers A (same as Green). Red takes one of the As when Purple is absent and of O Purple is present.,sim_R-A_G-A_P-present,seq_AAO_R-O_P-present,seq_AAO_R-A_P-absent,present,49628,485347,100,0,100
6gcmgdmm8x,6gcmgdmm8x,True,True,presentational_goal,competitive,28,trial,4,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Orange,Red prefers A (same as Green). Red takes A when Purple is absent and O when Purple is present.,sim_R-A_G-A_P-present,seq_AO_R-O_P-present,seq_AO_R-A_P-absent,present,30948,516297,100,0,100
6gcmgdmm8x,6gcmgdmm8x,True,True,presentational_goal,competitive,29,trial,5,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Apple,Red prefers A (same as Green). Red takes A when Purple is both absent and present.,sim_R-A_G-A_P-present,seq_AO_R-A_P-present,seq_AO_R-A_P-absent,present,28149,544447,100,0,100
6gcmgdmm8x,6gcmgdmm8x,True,True,presentational_goal,competitive,30,trial,6,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Orange,Red prefers A (same as Green). Red takes O both when Purple is present or absent.,sim_R-A_G-A_P-present,seq_AO_R-O_P-present,seq_AO_R-O_P-absent,present,28002,572451,100,0,100
6gcmgdmm8x,6gcmgdmm8x,True,True,presentational_goal,competitive,31,trial,7,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Apple,Red prefers A (same as Green). Red takes O when Purple is absent and A when Purple is present.,sim_R-A_G-A_P-present,seq_AO_R-A_P-present,seq_AO_R-O_P-absent,present,44630,617082,100,0,100
6gcmgdmm8x,6gcmgdmm8x,True,True,presentational_goal,competitive,33,trial,8,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Orange,Red prefers O (unlike Green). Red takes O when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AO_R-O_P-present,seq_AO_R-O_P-absent,present,37091,666390,0,0,0
6gcmgdmm8x,6gcmgdmm8x,True,True,presentational_goal,competitive,34,trial,9,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Apple,Red prefers O (unlike Green). Red takes A when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AO_R-A_P-present,seq_AO_R-A_P-absent,present,26563,692955,0,0,0
