id,prolific_id,separatePref,randomizeVignettes,questionOrder,blockPrefFirst,trial_idx,trial_type,local_idx,story_id,description,vignette_1,vignette_2,vignette_3,vignette_order,rt,time_elapsed,social_goal,presentational_goal,social_goal_purple
5bk2mx0n3h,5cb5e6927a92c500015c0de1,true,true,presentational_goal,complementary,20,trial,0,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Orange,Red prefers O (unlike Green). Red takes one of the two As when Purple is absent and O when Purple is present.,sim_R-O_G-A_P-present,seq_AAO_R-A_P-absent,seq_AAO_R-O_P-present,absent,39540,729955,51,82,86
5bk2mx0n3h,5cb5e6927a92c500015c0de1,true,true,presentational_goal,complementary,24,trial,1,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Orange,Red prefers O (unlike Green). Red takes A when Purple is absent and O when Purple is present.,sim_R-O_G-A_P-present,seq_AO_R-A_P-absent,seq_AO_R-O_P-present,absent,13704,776048,49,84,84
5bk2mx0n3h,5cb5e6927a92c500015c0de1,true,true,presentational_goal,complementary,26,trial,2,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Apple,Red prefers O (unlike Green). Red takes one of the two As when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AAO_R-A_P-present,seq_AAO_R-A_P-absent,present,141560,920399,18,15,49
5bk2mx0n3h,5cb5e6927a92c500015c0de1,true,true,presentational_goal,complementary,27,trial,3,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Apple,Red prefers O (unlike Green). Red takes O when Purple is absent and one of the two As when Purple is present.,sim_R-O_G-A_P-present,seq_AAO_R-O_P-absent,seq_AAO_R-A_P-present,absent,29920,950321,48,6,9
5bk2mx0n3h,5cb5e6927a92c500015c0de1,true,true,presentational_goal,complementary,28,trial,4,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Apple,Red prefers O (unlike Green). Red takes O when Purple is absent and A when Purple is present.,sim_R-O_G-A_P-present,seq_AO_R-O_P-absent,seq_AO_R-A_P-present,absent,49809,1000132,71,5,12
5bk2mx0n3h,5cb5e6927a92c500015c0de1,true,true,presentational_goal,complementary,29,trial,5,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Apple,Red prefers O (unlike Green). Red takes A when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AO_R-A_P-present,seq_AO_R-A_P-absent,present,23867,1024000,15,10,10
5bk2mx0n3h,5cb5e6927a92c500015c0de1,true,true,presentational_goal,complementary,30,trial,6,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Orange,Red prefers O (unlike Green). Red takes O when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AO_R-O_P-present,seq_AO_R-O_P-absent,present,22596,1046599,62,51,61
5bk2mx0n3h,5cb5e6927a92c500015c0de1,true,true,presentational_goal,complementary,31,trial,7,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Orange,Red prefers O (unlike Green). Red takes O when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AAO_R-O_P-present,seq_AAO_R-O_P-absent,present,25698,1072299,57,49,49
5bk2mx0n3h,5cb5e6927a92c500015c0de1,true,true,presentational_goal,complementary,33,trial,8,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Apple,Red prefers A (same as Green). Red takes A when Purple is both absent and present.,sim_R-A_G-A_P-present,seq_AO_R-A_P-absent,seq_AO_R-A_P-present,absent,42003,1129161,47,21,44
5bk2mx0n3h,5cb5e6927a92c500015c0de1,true,true,presentational_goal,complementary,34,trial,9,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Orange,Red prefers A (same as Green). Red takes O both when Purple is absent and present.,sim_R-A_G-A_P-present,seq_AAO_R-O_P-absent,seq_AAO_R-O_P-present,absent,26811,1155974,71,71,72
