id,prolific_id,separatePref,randomizeVignettes,questionOrder,blockPrefFirst,trial_idx,trial_type,local_idx,story_id,description,vignette_1,vignette_2,vignette_3,vignette_order,rt,time_elapsed,social_goal,presentational_goal,social_goal_purple
uheufmba88,uheufmba88,True,True,social_goal,complementary,25,trial,0,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Apple,Red prefers O (unlike Green). Red takes O when Purple is absent and one of the two As when Purple is present.,sim_R-O_G-A_P-present,seq_AAO_R-A_P-present,seq_AAO_R-O_P-absent,present,33136,531196,60,46,51
uheufmba88,uheufmba88,True,True,social_goal,complementary,29,trial,1,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Orange,Red prefers O (unlike Green). Red takes A when Purple is absent and O when Purple is present.,sim_R-O_G-A_P-present,seq_AO_R-A_P-absent,seq_AO_R-O_P-present,absent,15089,581045,74,73,59
uheufmba88,uheufmba88,True,True,social_goal,complementary,31,trial,2,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Apple,Red prefers O (unlike Green). Red takes O when Purple is absent and A when Purple is present.,sim_R-O_G-A_P-present,seq_AO_R-O_P-absent,seq_AO_R-A_P-present,absent,26334,612161,70,56,59
uheufmba88,uheufmba88,True,True,social_goal,complementary,32,trial,3,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Orange;Orange,Red prefers O (unlike Green). Red takes O when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AO_R-O_P-absent,seq_AO_R-O_P-present,absent,53105,665268,71,61,70
uheufmba88,uheufmba88,True,True,social_goal,complementary,33,trial,4,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Apple,Red prefers O (unlike Green). Red takes A when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AO_R-A_P-absent,seq_AO_R-A_P-present,absent,32337,697607,29,47,25
uheufmba88,uheufmba88,True,True,social_goal,complementary,34,trial,5,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Orange;Orange,Red prefers O (unlike Green). Red takes O when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AAO_R-O_P-absent,seq_AAO_R-O_P-present,absent,21303,718911,67,57,55
uheufmba88,uheufmba88,True,True,social_goal,complementary,35,trial,6,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Orange,Red prefers O (unlike Green). Red takes one of the two As when Purple is absent and O when Purple is present.,sim_R-O_G-A_P-present,seq_AAO_R-O_P-present,seq_AAO_R-A_P-absent,present,23820,742733,47,57,51
uheufmba88,uheufmba88,True,True,social_goal,complementary,36,trial,7,complementary-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Apple,Red prefers O (unlike Green). Red takes one of the two As when Purple is both absent and present.,sim_R-O_G-A_P-present,seq_AAO_R-A_P-present,seq_AAO_R-A_P-absent,present,24428,767163,13,14,17
uheufmba88,uheufmba88,True,True,social_goal,complementary,38,trial,8,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Apple,Red prefers A (same as Green). Red takes one of the two As both when Purple is absent and present.,sim_R-A_G-A_P-present,seq_AAO_R-A_P-absent,seq_AAO_R-A_P-present,absent,19777,792569,45,56,38
uheufmba88,uheufmba88,True,True,social_goal,complementary,39,trial,9,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(1;1)-Apple;Orange,Red prefers A (same as Green). Red takes A when Purple is absent and O when Purple is present.,sim_R-A_G-A_P-present,seq_AO_R-A_P-absent,seq_AO_R-O_P-present,absent,24161,816731,77,67,78
uheufmba88,uheufmba88,True,True,social_goal,complementary,40,trial,10,competitive-C_knows_B:Yes-C_knows_care:No-n_fruits(2;1)-Apple;Orange,Red prefers A (same as Green). Red takes one of the As when Purple is absent and of O Purple is present.,sim_R-A_G-A_P-present,seq_AAO_R-O_P-present,seq_AAO_R-A_P-absent,present,27609,844342,39,89,78
